Sport,Level,League,Date,Day,Time,Home Team,Road Team,City,State
basketball,pro,NBA,2023-11-22,Wednesday,",",Houston Rockets,Memphis Grizzlies,Houston,TX
basketball,pro,NBA,2023-11-22,Wednesday,",",Minnesota Timberwolves,Philadelphia 76ers,Minneapolis,MN
basketball,pro,NBA,2023-11-22,Wednesday,",",New Orleans Pelicans,Sacramento Kings,New Orleans,LA
basketball,pro,NBA,2023-11-22,Wednesday,",",Oklahoma City Thunder,Chicago Bulls,Oklahoma City,OK
basketball,pro,NBA,2023-11-22,Wednesday,",",San Antonio Spurs,Los Angeles Clippers,San Antonio,TX
basketball,pro,NBA,2023-11-22,Wednesday,",",Phoenix Suns,Golden State Warriors,Phoenix,AZ
basketball,pro,NBA,2023-11-22,Wednesday,",",Portland Trail Blazers,Utah Jazz,Portland,OR
basketball,pro,NBA,2023-11-22,Wednesday,",",Los Angeles Lakers,Dallas Mavericks,Los Angeles,CA
basketball,pro,NBA,2023-11-24,Friday,",",Orlando Magic,Boston Celtics,Orlando,FL
basketball,pro,NBA,2023-11-24,Friday,",",Memphis Grizzlies,Phoenix Suns,Memphis,TN
basketball,pro,NBA,2023-11-24,Friday,",",New York Knicks,Miami Heat,New York,NY
basketball,pro,NBA,2023-11-24,Friday,",",Toronto Raptors,Chicago Bulls,Toronto,ON
basketball,pro,NBA,2023-11-24,Friday,",",Houston Rockets,Denver Nuggets,Houston,TX
basketball,pro,NBA,2023-11-24,Friday,",",Indiana Pacers,Detroit Pistons,Indianapolis,IN
basketball,pro,NBA,2023-11-24,Friday,",",Milwaukee Bucks,Washington Wizards,Milwaukee,WI
basketball,pro,NBA,2023-11-24,Friday,",",Minnesota Timberwolves,Sacramento Kings,Minneapolis,MN
basketball,pro,NBA,2023-11-24,Friday,",",Golden State Warriors,San Antonio Spurs,San Francisco,CA
basketball,pro,NBA,2023-11-24,Friday,",",Los Angeles Clippers,New Orleans Pelicans,Los Angeles,CA
basketball,pro,NBA,2023-11-25,Saturday,",",Oklahoma City Thunder,Philadelphia 76ers,Oklahoma City,OK
basketball,pro,NBA,2023-11-25,Saturday,",",Brooklyn Nets,Miami Heat,Brooklyn,NY
basketball,pro,NBA,2023-11-25,Saturday,",",Washington Wizards,Atlanta Hawks,Washington,DC
basketball,pro,NBA,2023-11-25,Saturday,",",Cleveland Cavaliers,Los Angeles Lakers,Cleveland,OH
basketball,pro,NBA,2023-11-25,Saturday,",",Utah Jazz,New Orleans Pelicans,Salt Lake City,UT
basketball,pro,NBA,2023-11-25,Saturday,",",Los Angeles Clippers,Dallas Mavericks,Los Angeles,CA
basketball,pro,NBA,2023-11-26,Sunday,",",Milwaukee Bucks,Portland Trail Blazers,Milwaukee,WI
basketball,pro,NBA,2023-11-26,Sunday,",",Boston Celtics,Atlanta Hawks,Boston,MA
basketball,pro,NBA,2023-11-26,Sunday,",",Memphis Grizzlies,Minnesota Timberwolves,Memphis,TN
basketball,pro,NBA,2023-11-26,Sunday,",",New York Knicks,Phoenix Suns,New York,NY
basketball,pro,NBA,2023-11-26,Sunday,",",Orlando Magic,Charlotte Hornets,Orlando,FL
basketball,pro,NBA,2023-11-26,Sunday,",",Brooklyn Nets,Chicago Bulls,Brooklyn,NY
basketball,pro,NBA,2023-11-26,Sunday,",",Cleveland Cavaliers,Toronto Raptors,Cleveland,OH
basketball,pro,NBA,2023-11-26,Sunday,",",Denver Nuggets,San Antonio Spurs,Denver,CO
basketball,pro,NBA,2023-11-27,Monday,",",Detroit Pistons,Washington Wizards,Detroit,MI
basketball,pro,NBA,2023-11-27,Monday,",",Indiana Pacers,Portland Trail Blazers,Indianapolis,IN
basketball,pro,NBA,2023-11-27,Monday,",",Philadelphia 76ers,Los Angeles Lakers,Philadelphia,PA
basketball,pro,NBA,2023-11-27,Monday,",",Utah Jazz,New Orleans Pelicans,Salt Lake City,UT
basketball,pro,NBA,2023-11-27,Monday,",",Los Angeles Clippers,Denver Nuggets,Los Angeles,CA
basketball,pro,NBA,2023-11-28,Tuesday,",",Boston Celtics,Chicago Bulls,Boston,MA
basketball,pro,NBA,2023-11-28,Tuesday,",",Brooklyn Nets,Toronto Raptors,Brooklyn,NY
basketball,pro,NBA,2023-11-28,Tuesday,",",Cleveland Cavaliers,Atlanta Hawks,Cleveland,OH
basketball,pro,NBA,2023-11-28,Tuesday,",",Miami Heat,Milwaukee Bucks,Miami,FL
basketball,pro,NBA,2023-11-28,Tuesday,",",New York Knicks,Charlotte Hornets,New York,NY
basketball,pro,NBA,2023-11-28,Tuesday,",",Minnesota Timberwolves,Oklahoma City Thunder,Minneapolis,MN
basketball,pro,NBA,2023-11-28,Tuesday,",",Dallas Mavericks,Houston Rockets,Dallas,TX
basketball,pro,NBA,2023-11-28,Tuesday,",",Sacramento Kings,Golden State Warriors,Sacramento,CA
basketball,pro,NBA,2023-11-29,Wednesday,",",Detroit Pistons,Los Angeles Lakers,Detroit,MI
basketball,pro,NBA,2023-11-29,Wednesday,",",Orlando Magic,Washington Wizards,Orlando,FL
basketball,pro,NBA,2023-11-29,Wednesday,",",Toronto Raptors,Phoenix Suns,Toronto,ON
basketball,pro,NBA,2023-11-29,Wednesday,",",Memphis Grizzlies,Utah Jazz,Memphis,TN
