Sport,Level,League,Date,Day,Time,Home Team,Road Team,Location,Home City,Home State
basketball,pro,NBA,2023-11-18,Saturday,,Charlotte Hornets,New York Knicks,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-11-18,Saturday,,New Orleans Pelicans,Minnesota Timberwolves,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-18,Saturday,,Chicago Bulls,Miami Heat,United Center,Chicago,IL
basketball,pro,NBA,2023-11-18,Saturday,,Milwaukee Bucks,Dallas Mavericks,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-11-18,Saturday,,San Antonio Spurs,Memphis Grizzlies,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-11-18,Saturday,,Golden State Warriors,Oklahoma City Thunder,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-11-19,Sunday,,Brooklyn Nets,Philadelphia 76ers,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-19,Sunday,,Toronto Raptors,Detroit Pistons,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-11-19,Sunday,,Indiana Pacers,Orlando Magic,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-19,Sunday,,Cleveland Cavaliers,Denver Nuggets,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-11-19,Sunday,,Dallas Mavericks,Sacramento Kings,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-11-19,Sunday,,Memphis Grizzlies,Boston Celtics,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-11-19,Sunday,,Utah Jazz,Phoenix Suns,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-11-19,Sunday,,Portland Trail Blazers,Oklahoma City Thunder,Moda Center,Portland,OR
basketball,pro,NBA,2023-11-19,Sunday,,Los Angeles Lakers,Houston Rockets,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-20,Monday,,Charlotte Hornets,Boston Celtics,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-11-20,Monday,,Detroit Pistons,Denver Nuggets,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-11-20,Monday,,Washington Wizards,Milwaukee Bucks,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-11-20,Monday,,Chicago Bulls,Miami Heat,United Center,Chicago,IL
basketball,pro,NBA,2023-11-20,Monday,,Minnesota Timberwolves,New York Knicks,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-20,Monday,,New Orleans Pelicans,Sacramento Kings,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-20,Monday,,San Antonio Spurs,Los Angeles Clippers,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-11-20,Monday,,Golden State Warriors,Houston Rockets,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-11-21,Tuesday,,Orlando Magic,Toronto Raptors,Amway Center,Orlando,FL
basketball,pro,NBA,2023-11-21,Tuesday,,Atlanta Hawks,Indiana Pacers,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-11-21,Tuesday,,Philadelphia 76ers,Cleveland Cavaliers,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-21,Tuesday,,Phoenix Suns,Portland Trail Blazers,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-11-21,Tuesday,,Los Angeles Lakers,Utah Jazz,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-22,Wednesday,,Charlotte Hornets,Washington Wizards,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-11-22,Wednesday,,Orlando Magic,Denver Nuggets,Amway Center,Orlando,FL
basketball,pro,NBA,2023-11-22,Wednesday,,Atlanta Hawks,Brooklyn Nets,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-11-22,Wednesday,,Boston Celtics,Milwaukee Bucks,TD Garden,Boston,MA
basketball,pro,NBA,2023-11-22,Wednesday,,Cleveland Cavaliers,Miami Heat,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-11-22,Wednesday,,Indiana Pacers,Toronto Raptors,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-22,Wednesday,,Houston Rockets,Memphis Grizzlies,Toyota Center,Houston,TX
basketball,pro,NBA,2023-11-22,Wednesday,,Minnesota Timberwolves,Philadelphia 76ers,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-22,Wednesday,,New Orleans Pelicans,Sacramento Kings,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-22,Wednesday,,Oklahoma City Thunder,Chicago Bulls,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-11-22,Wednesday,,San Antonio Spurs,Los Angeles Clippers,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-11-22,Wednesday,,Phoenix Suns,Golden State Warriors,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-11-22,Wednesday,,Portland Trail Blazers,Utah Jazz,Moda Center,Portland,OR
basketball,pro,NBA,2023-11-22,Wednesday,,Los Angeles Lakers,Dallas Mavericks,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-24,Friday,,Orlando Magic,Boston Celtics,Amway Center,Orlando,FL
basketball,pro,NBA,2023-11-24,Friday,,Memphis Grizzlies,Phoenix Suns,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-11-24,Friday,,New York Knicks,Miami Heat,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-11-24,Friday,,Toronto Raptors,Chicago Bulls,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-11-24,Friday,,Houston Rockets,Denver Nuggets,Toyota Center,Houston,TX
basketball,pro,NBA,2023-11-24,Friday,,Indiana Pacers,Detroit Pistons,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-24,Friday,,Milwaukee Bucks,Washington Wizards,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-11-24,Friday,,Minnesota Timberwolves,Sacramento Kings,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-24,Friday,,Golden State Warriors,San Antonio Spurs,Chase Center,San Francisco,CA
