primary_key,sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
NBA_2023-11-01_NA_New York Knicks_Cleveland Cavaliers,basketball,pro,NBA,2023-11-01,Wednesday,,New York Knicks,Cleveland Cavaliers,Madison Square Garden (IV),New York,NY
NBA_2023-11-01_NA_Oklahoma City Thunder_New Orleans Pelicans,basketball,pro,NBA,2023-11-01,Wednesday,,Oklahoma City Thunder,New Orleans Pelicans,Paycom Center,Oklahoma City,OK
NBA_2023-11-01_NA_Houston Rockets_Charlotte Hornets,basketball,pro,NBA,2023-11-01,Wednesday,,Houston Rockets,Charlotte Hornets,Toyota Center,Houston,TX
NBA_2023-11-01_NA_Minnesota Timberwolves_Denver Nuggets,basketball,pro,NBA,2023-11-01,Wednesday,,Minnesota Timberwolves,Denver Nuggets,Target Center,Minneapolis,MN
NBA_2023-11-01_NA_Dallas Mavericks_Chicago Bulls,basketball,pro,NBA,2023-11-01,Wednesday,,Dallas Mavericks,Chicago Bulls,American Airlines Center,Dallas,TX
NBA_2023-11-01_NA_Utah Jazz_Memphis Grizzlies,basketball,pro,NBA,2023-11-01,Wednesday,,Utah Jazz,Memphis Grizzlies,Delta Center,Salt Lake City,UT
NBA_2023-11-01_NA_Golden State Warriors_Sacramento Kings,basketball,pro,NBA,2023-11-01,Wednesday,,Golden State Warriors,Sacramento Kings,Chase Center,San Francisco,CA
NBA_2023-11-01_NA_Los Angeles Lakers_Los Angeles Clippers,basketball,pro,NBA,2023-11-01,Wednesday,,Los Angeles Lakers,Los Angeles Clippers,Crypto.com Arena,Los Angeles,CA
NBA_2023-11-02_NA_Philadelphia 76ers_Toronto Raptors,basketball,pro,NBA,2023-11-02,Thursday,,Philadelphia 76ers,Toronto Raptors,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-02_NA_New Orleans Pelicans_Detroit Pistons,basketball,pro,NBA,2023-11-02,Thursday,,New Orleans Pelicans,Detroit Pistons,Smoothie King Center,New Orleans,LA
NBA_2023-11-02_NA_Utah Jazz_Orlando Magic,basketball,pro,NBA,2023-11-02,Thursday,,Utah Jazz,Orlando Magic,Delta Center,Salt Lake City,UT
NBA_2023-11-02_NA_Phoenix Suns_San Antonio Spurs,basketball,pro,NBA,2023-11-02,Thursday,,Phoenix Suns,San Antonio Spurs,Footprint Center,Phoenix,AZ
NBA_2023-11-03_NA_Indiana Pacers_Cleveland Cavaliers,basketball,pro,NBA,2023-11-03,Friday,,Indiana Pacers,Cleveland Cavaliers,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-03_NA_Milwaukee Bucks_New York Knicks,basketball,pro,NBA,2023-11-03,Friday,,Milwaukee Bucks,New York Knicks,Fiserv Forum,Milwaukee,WI
NBA_2023-11-03_NA_Chicago Bulls_Brooklyn Nets,basketball,pro,NBA,2023-11-03,Friday,,Chicago Bulls,Brooklyn Nets,United Center,Chicago,IL
NBA_2023-11-03_NA_Miami Heat_Washington Wizards,basketball,pro,NBA,2023-11-03,Friday,,Miami Heat,Washington Wizards,Kaseya Center,Miami,FL
NBA_2023-11-03_NA_Oklahoma City Thunder_Golden State Warriors,basketball,pro,NBA,2023-11-03,Friday,,Oklahoma City Thunder,Golden State Warriors,Paycom Center,Oklahoma City,OK
NBA_2023-11-03_NA_Denver Nuggets_Dallas Mavericks,basketball,pro,NBA,2023-11-03,Friday,,Denver Nuggets,Dallas Mavericks,Ball Arena,Denver,CO
NBA_2023-11-03_NA_Portland Trail Blazers_Memphis Grizzlies,basketball,pro,NBA,2023-11-03,Friday,,Portland Trail Blazers,Memphis Grizzlies,Moda Center,Portland,OR
NBA_2023-11-04_NA_Philadelphia 76ers_Phoenix Suns,basketball,pro,NBA,2023-11-04,Saturday,,Philadelphia 76ers,Phoenix Suns,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-04_NA_Indiana Pacers_Charlotte Hornets,basketball,pro,NBA,2023-11-04,Saturday,,Indiana Pacers,Charlotte Hornets,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-04_NA_New Orleans Pelicans_Atlanta Hawks,basketball,pro,NBA,2023-11-04,Saturday,,New Orleans Pelicans,Atlanta Hawks,Smoothie King Center,New Orleans,LA
NBA_2023-11-04_NA_Orlando Magic_Los Angeles Lakers,basketball,pro,NBA,2023-11-04,Saturday,,Orlando Magic,Los Angeles Lakers,Amway Center,Orlando,FL
NBA_2023-11-04_NA_Brooklyn Nets_Boston Celtics,basketball,pro,NBA,2023-11-04,Saturday,,Brooklyn Nets,Boston Celtics,Barclays Center,Brooklyn,NY
NBA_2023-11-04_NA_Houston Rockets_Sacramento Kings,basketball,pro,NBA,2023-11-04,Saturday,,Houston Rockets,Sacramento Kings,Toyota Center,Houston,TX
NBA_2023-11-04_NA_Minnesota Timberwolves_Utah Jazz,basketball,pro,NBA,2023-11-04,Saturday,,Minnesota Timberwolves,Utah Jazz,Target Center,Minneapolis,MN
NBA_2023-11-04_NA_Denver Nuggets_Chicago Bulls,basketball,pro,NBA,2023-11-04,Saturday,,Denver Nuggets,Chicago Bulls,Ball Arena,Denver,CO
NBA_2023-11-05_NA_Detroit Pistons_Phoenix Suns,basketball,pro,NBA,2023-11-05,Sunday,,Detroit Pistons,Phoenix Suns,Little Caesars Arena,Detroit,MI
NBA_2023-11-05_NA_San Antonio Spurs_Toronto Raptors,basketball,pro,NBA,2023-11-05,Sunday,,San Antonio Spurs,Toronto Raptors,Frost Bank Center,San Antonio,TX
NBA_2023-11-05_NA_Cleveland Cavaliers_Golden State Warriors,basketball,pro,NBA,2023-11-05,Sunday,,Cleveland Cavaliers,Golden State Warriors,Rocket Mortgage Fieldhouse,Cleveland,OH
NBA_2023-11-05_NA_Dallas Mavericks_Charlotte Hornets,basketball,pro,NBA,2023-11-05,Sunday,,Dallas Mavericks,Charlotte Hornets,American Airlines Center,Dallas,TX
NBA_2023-11-05_NA_Portland Trail Blazers_Memphis Grizzlies,basketball,pro,NBA,2023-11-05,Sunday,,Portland Trail Blazers,Memphis Grizzlies,Moda Center,Portland,OR
NBA_2023-11-06_NA_Detroit Pistons_Golden State Warriors,basketball,pro,NBA,2023-11-06,Monday,,Detroit Pistons,Golden State Warriors,Little Caesars Arena,Detroit,MI
NBA_2023-11-06_NA_Indiana Pacers_San Antonio Spurs,basketball,pro,NBA,2023-11-06,Monday,,Indiana Pacers,San Antonio Spurs,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-11-06_NA_Orlando Magic_Dallas Mavericks,basketball,pro,NBA,2023-11-06,Monday,,Orlando Magic,Dallas Mavericks,Amway Center,Orlando,FL
NBA_2023-11-06_NA_Philadelphia 76ers_Washington Wizards,basketball,pro,NBA,2023-11-06,Monday,,Philadelphia 76ers,Washington Wizards,Wells Fargo Center,Philadelphia,PA
NBA_2023-11-06_NA_Brooklyn Nets_Milwaukee Bucks,basketball,pro,NBA,2023-11-06,Monday,,Brooklyn Nets,Milwaukee Bucks,Barclays Center,Brooklyn,NY
NBA_2023-11-06_NA_Miami Heat_Los Angeles Lakers,basketball,pro,NBA,2023-11-06,Monday,,Miami Heat,Los Angeles Lakers,Kaseya Center,Miami,FL
NBA_2023-11-06_NA_New York Knicks_Los Angeles Clippers,basketball,pro,NBA,2023-11-06,Monday,,New York Knicks,Los Angeles Clippers,Madison Square Garden (IV),New York,NY
NBA_2023-11-06_NA_Chicago Bulls_Utah Jazz,basketball,pro,NBA,2023-11-06,Monday,,Chicago Bulls,Utah Jazz,United Center,Chicago,IL
NBA_2023-11-06_NA_Houston Rockets_Sacramento Kings,basketball,pro,NBA,2023-11-06,Monday,,Houston Rockets,Sacramento Kings,Toyota Center,Houston,TX
NBA_2023-11-06_NA_Minnesota Timberwolves_Boston Celtics,basketball,pro,NBA,2023-11-06,Monday,,Minnesota Timberwolves,Boston Celtics,Target Center,Minneapolis,MN
